image_id,product_id,sheet_id,position,image_type,row_number,product_name
19307,,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,A1,1,,
19299,6642,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,A4,1,4,Дизайн: из наличия
19302,6643,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,A7,1,7,Дизайн: из наличия
19300,6642,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O4,0,4,Дизайн: из наличия
19301,6642,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O4,0,4,Дизайн: из наличия
19305,6643,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O7,0,7,Дизайн: из наличия
19303,6643,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O7,0,7,Дизайн: из наличия
19304,,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O8,0,,
19306,,1LMsOZRwwG67iopxm95ITou7fCdWjKLf4pjhYRd_WVS4,O8,0,,
3923,1382,1lSdNhLkMS4xQjbRjNKNHJQP9FE0JCSCvpCeI88jI4gM,S8,0,8,Папка 1
3432,1227,1miYWiZwKCslUo8R36qqC2aEhkAHFKt_53QfsFDIUJCE,O4,0,4,Ручка
29510,11274,1MvwSGoj9tBJnrtSa1eqMV3hknZNsfPf9JS7,A23,,,
29512,11274,1MvwSGoj9tBJnrtSa1eqMV3hknZNsfPf9JS7,R23,,,
29511,11274,1MvwSGoj9tBJnrtSa1eqMV3hknZNsfPf9JS7,R23,,,
33047,11716,1nA,A8,,,
33046,11716,1nA,R7,,,
7540,2700,1NaKk9PCAe-SrKUuz5KEa5sZT77buv3_iW1tqOqZnDHs,A14,1,14,Дизайн: по рефернсу клиента
6884,2454,1NzGMZ_Wq-KJqsWKZwum4cfOirf6HCp8hqH53FXACKkA,A16,1,16,Дорожный набор с зарядным кабелем
18546,,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,A1,1,,
18541,6371,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,A4,1,4,худи оверсайз
18540,6372,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,A5,1,5,футболка оверсайз
18544,6371,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,O4,0,4,худи оверсайз
18545,6371,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,O4,0,4,худи оверсайз
18543,6372,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,O5,0,5,футболка оверсайз
18542,6372,1OHz7TrIlX_Mp8WQ-or4pGhyMfVCe4F_Q15_hZCtBjCk,O5,0,5,футболка оверсайз
22186,7673,1o-pd9SKFuEUx2s_lCckvFP0yMH2u8ph5jztltysFiFk,A100,1,100,Джиббитсы на шнурки
