product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
1189,619,"[Просчет] ООО ""КГИ"" / Музей Московского Кремля. Колокольчики-фарфор, хрусталь. Китай. 05-06-2025",Дизайн: нет,6,1,2,KEEP
1193,619,"[Просчет] ООО ""КГИ"" / Музей Московского Кремля. Колокольчики-фарфор, хрусталь. Китай. 05-06-2025",Дизайн: нет,10,2,2,DELETE
1202,622,"[Просчет] ООО ""КГИ"" / Расчет (Универсальная позиция)_брелоки_1000шт_ТВЭЛ_КГИ_обвес палитра_ММ 05-05-2025","Титановый брелок

CNC - технология (гладкие края)",13,1,2,KEEP
1204,622,"[Просчет] ООО ""КГИ"" / Расчет (Универсальная позиция)_брелоки_1000шт_ТВЭЛ_КГИ_обвес палитра_ММ 05-05-2025","Титановый брелок

CNC - технология (гладкие края)",19,2,2,DELETE
1227,630,"[Просчет] ООО ""КГИ"" / Ручка_8000 шт_Аэрофлот_КГИ_ММ 09-06-2025",Ручка,4,1,2,KEEP
1229,630,"[Просчет] ООО ""КГИ"" / Ручка_8000 шт_Аэрофлот_КГИ_ММ 09-06-2025",Ручка,7,2,2,DELETE
1228,630,"[Просчет] ООО ""КГИ"" / Ручка_8000 шт_Аэрофлот_КГИ_ММ 09-06-2025",Ручка 2,5,1,2,KEEP
1230,630,"[Просчет] ООО ""КГИ"" / Ручка_8000 шт_Аэрофлот_КГИ_ММ 09-06-2025",Ручка 2,8,2,2,DELETE
1285,646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,"Дизайн: нанесение лого, можно настроить цвет
По вариантам нанесения: можно сделать только шелкографию в 1 цвет",22,1,2,KEEP
1287,646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,"Дизайн: нанесение лого, можно настроить цвет
По вариантам нанесения: можно сделать только шелкографию в 1 цвет",24,2,2,DELETE
1275,646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,"Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",6,1,3,KEEP
1277,646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,"Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",9,2,3,DELETE
1279,646,[Просчет] ООО Кастомлаб / Билайн 16-05-2025,"Дизайн: настройка цвета и рисунка в соответствии с макетом, нанесение лого",12,3,3,DELETE
1326,652,"[Просчет] ООО Кастомлаб / Расчет полотенца, косметички (Ольга Филиппова) 07-05-2025",Дизайн: из наличия (10 цветов на выбор),8,1,2,KEEP
1328,652,"[Просчет] ООО Кастомлаб / Расчет полотенца, косметички (Ольга Филиппова) 07-05-2025",Дизайн: из наличия (10 цветов на выбор),10,2,2,DELETE
1349,659,[Просчет] Полина Вальницкая / блокноты_4395_МТС_КГИ_ММ 19-05-2025,Блокнот,4,1,2,KEEP
1350,659,[Просчет] Полина Вальницкая / блокноты_4395_МТС_КГИ_ММ 19-05-2025,Блокнот,6,2,2,DELETE
1466,701,[Просчет-РФ] Поезд ВСМ на пульте управления/рф_100_МДТО_КГИ_ММ Иллан 09-04-2025,Дизайн: изготовление с нуля по макету клиента,8,1,2,KEEP
1467,701,[Просчет-РФ] Поезд ВСМ на пульте управления/рф_100_МДТО_КГИ_ММ Иллан 09-04-2025,Дизайн: изготовление с нуля по макету клиента,9,2,2,DELETE
1464,701,[Просчет-РФ] Поезд ВСМ на пульте управления/рф_100_МДТО_КГИ_ММ Иллан 09-04-2025,Дизайн: по референсу,6,1,2,KEEP
1465,701,[Просчет-РФ] Поезд ВСМ на пульте управления/рф_100_МДТО_КГИ_ММ Иллан 09-04-2025,Дизайн: по референсу,7,2,2,DELETE
1586,725,[Просчет-РФ] ООО Квадрат-С,Таблетница,19,1,2,KEEP
1587,725,[Просчет-РФ] ООО Квадрат-С,Таблетница,22,2,2,DELETE
1617,735,[Просчет] Дарья Ежова / фарфор 11-04-2025,Дизайн: цветная деколь,4,1,2,KEEP
1619,735,[Просчет] Дарья Ежова / фарфор 11-04-2025,Дизайн: цветная деколь,6,2,2,DELETE
1621,736,[Просчет-РФ] Иллан Чехол для ноутбука / 11-04-2025,Чехол для ноутбука,4,1,2,KEEP
1622,736,[Просчет-РФ] Иллан Чехол для ноутбука / 11-04-2025,Чехол для ноутбука,9,2,2,DELETE
1715,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: без кастома,8,1,2,KEEP
1717,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: без кастома,10,2,2,DELETE
1712,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: печать логотипа в один цвет,5,1,4,KEEP
1714,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: печать логотипа в один цвет,7,2,4,DELETE
1716,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: печать логотипа в один цвет,9,3,4,DELETE
1718,756,[Просчет-РФ] Мария Княгинина / Упаковка втб 20000 шт 15-04-2025,Дизайн: печать логотипа в один цвет,11,4,4,DELETE
1817,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,4,1,2,KEEP
1818,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,5,1,2,KEEP
1819,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,6,1,2,KEEP
1820,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,7,1,2,KEEP
1821,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,8,1,2,KEEP
1822,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,9,1,2,KEEP
1823,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,10,1,2,KEEP
1824,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,11,1,2,KEEP
1825,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,12,1,2,KEEP
1826,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,13,1,2,KEEP
1827,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,14,1,2,KEEP
1828,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,15,1,2,KEEP
1829,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,18,2,2,DELETE
1830,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,19,2,2,DELETE
1831,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,20,2,2,DELETE
1832,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,21,2,2,DELETE
1833,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,22,2,2,DELETE
1834,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,23,2,2,DELETE
1835,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,24,2,2,DELETE
1836,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,25,2,2,DELETE
1837,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,26,2,2,DELETE
1838,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,27,2,2,DELETE
1839,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,28,2,2,DELETE
1840,779,[Просчет-РФ] Юля ЗЯ/ Косметички к НГ,Косметичка,29,2,2,DELETE
1859,782,[Просчет-РФ] Андрей ТБФонд / Ручки со шпаргалкой 30-04-2025,Ручка,4,1,2,KEEP
1860,782,[Просчет-РФ] Андрей ТБФонд / Ручки со шпаргалкой 30-04-2025,Ручка,6,2,2,DELETE
1924,803,[Просчет-РФ] Наташа Иллан / РСХБ / Мы кормим всех / 28 тыс. шт.,Брелок,14,1,2,KEEP
1925,803,[Просчет-РФ] Наташа Иллан / РСХБ / Мы кормим всех / 28 тыс. шт.,Брелок,16,2,2,DELETE
1994,821,[Просчет] Ольга Гуляева / Расчет_мерча 2025 НАШЕНЬКА_6000/5000/4000_Птицефабрика Северная_КГИ_ММ 06-03-2025,Поясная сумка,5,1,2,KEEP
1995,821,[Просчет] Ольга Гуляева / Расчет_мерча 2025 НАШЕНЬКА_6000/5000/4000_Птицефабрика Северная_КГИ_ММ 06-03-2025,Поясная сумка,6,2,2,DELETE
2024,830,[Просчет-РФ] Подносы с лого 500-1000шт,Дизайн: полная запечатка,6,1,2,KEEP
2026,830,[Просчет-РФ] Подносы с лого 500-1000шт,Дизайн: полная запечатка,10,2,2,DELETE
2032,831,[Просчет-РФ] Запрос,Картхолдер,10,1,2,KEEP
2034,831,[Просчет-РФ] Запрос,Картхолдер,14,2,2,DELETE
2080,837,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_3 кардхолдера из экокожи на кольце_1000 шт_МКБ_КГИ_ММ 07-03-2025,Ланъярд плетенный,10,1,2,KEEP
2081,837,[Просчет] Елизавета Постных Иллан / Расчет (Универсальная позиция)_3 кардхолдера из экокожи на кольце_1000 шт_МКБ_КГИ_ММ 07-03-2025,Ланъярд плетенный,12,2,2,DELETE
2122,850,[Просчет-РФ] Екатерина Мишина (Долина) / Елочные шары - 100/300/500 10-03-2025,Лампа,16,1,2,KEEP
2123,850,[Просчет-РФ] Екатерина Мишина (Долина) / Елочные шары - 100/300/500 10-03-2025,Лампа,19,2,2,DELETE
2137,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,коробка для ручки MUJI,10,1,2,KEEP
2145,852,[Просчет-РФ] Екатерина Майорова / Шейкеры и ручки_700/1500/300_Санта Бремор 10-03-2025,коробка для ручки MUJI,24,2,2,DELETE
