Все кандидаты на Шаблон 6 (заголовки в строке 2)
Всего файлов: 647

 1485 |  30 cols | 1001 rows | project_1485_13WkoCcTURqnerfqZdTPdmr2xdCrDqQOs2eV0Xrpo3ew.xlsx
 1486 |  27 cols | 1001 rows | project_1486_1__LSlEN7r71xDJ21YTEukJZ1Vdwh3R6CZmnCmZbARzA.xlsx
 1488 |  30 cols | 1001 rows | project_1488_1HC9TMGw6Zg5bxmn77Iz4pWcqFLNgHb_c7IlIVidyNjo.xlsx
 1489 |  30 cols | 1001 rows | project_1489_1cAmOr9kAalS_UTcL_PDkseXtBB9s1ueWDAl7ETZLU3s.xlsx
 1491 |  27 cols | 1002 rows | project_1491_17CE70PDWe9Xb1Rsox0c_esAfcPoZJ2H05kBxWKq3gLo.xlsx
 1492 |  28 cols | 1003 rows | project_1492_1aFbjwz-shMbqwDFndZeXz6Ol5Te2fCFDNMbsGcIg1MA.xlsx
 1493 |  28 cols | 1009 rows | project_1493_1GOmxQW3PKUcvx3M5Heclh9JKHcQ1i3ddEdMuVgwIdck.xlsx
 1494 |  27 cols | 1001 rows | project_1494_1kUfH8WbnIO4Lw5LHieCcnPhpChhyc4fLVZngZokOGic.xlsx
 1495 |  27 cols | 1001 rows | project_1495_1ksjXGWzq4VBqGhw3bW1LjWV5HK816tITvp2t1bA1wqI.xlsx
 1496 |  27 cols | 1001 rows | project_1496_12uqUtUAhquN7tqaLaMDj974_CWTeywOK80ETELRO7L4.xlsx
 1497 |  30 cols | 1001 rows | project_1497_1KxRK0a-WjhF_PnDSykwO3008ADez0Yq1mD9HdRkne8Q.xlsx
 1498 |  27 cols | 1001 rows | project_1498_1FHjkBCinw5mUlK3UPO-1y-rbAXCAQ0Rlaraw9O3FVeo.xlsx
 1499 |  30 cols | 1001 rows | project_1499_1w23LWuj475l9Or6DkLvYJ83TZElSJCqihoNQ8GWyouQ.xlsx
 1501 |  27 cols | 1001 rows | project_1501_1DJmabnR8IwEdN5KKX3BWHzi2yqoZrpDyhCxtWKcgkPI.xlsx
 1502 |  30 cols | 1001 rows | project_1502_1WzPZyUBQbTcbTH_9Jyv7yLuTRQUQjN8fsC3qy48mrtg.xlsx
 1503 |  27 cols | 1000 rows | project_1503_1po6LSTXE9etf_r-hhsVJSBGXUwfHITEIBXjD4GFS4cM.xlsx
 1504 |  30 cols | 1001 rows | project_1504_16i-R7sf6jPPEnc9nZjqqBeBUGyJUssHSpVUh_a9NThg.xlsx
 1506 |  27 cols | 1001 rows | project_1506_1k-NHymI2ysYmfk0sfYZDI315zFUPcedTP0-jFWMSKXU.xlsx
 1508 |  27 cols | 1001 rows | project_1508_1TRNHlQ21DBJ0hMCE6mpQKwNzEQgid2fHZb2x1pSIpBs.xlsx
 1509 |  30 cols | 1001 rows | project_1509_1Xzlzzty5JldjZP19EMo0zvMRakBubZCUx0dkTpTUJeA.xlsx
 1510 |  30 cols | 1001 rows | project_1510_19O11LOw-jNpGo5MBLX7H0FzievS5oIaJXG5vLkRH3LQ.xlsx
 1512 |  30 cols | 1000 rows | project_1512_1KCkzul0hx2KPGD7XNowsR3hPhYLGf4Dog2XbjMG2rEg.xlsx
 1514 |  27 cols | 1001 rows | project_1514_1bSCdN991Lj0V7ruMTtuJKFMLk5jrXM0_ceWIqPWukaA.xlsx
 1516 |  27 cols | 1001 rows | project_1516_1DPqtA9DpV61xvb5GkYJ1lgax2lesfd3u2KJZt87grQ8.xlsx
 1520 |  27 cols | 1001 rows | project_1520_1g1yePBTPFDo-O7Po5HgqW3nsPyOgeZ5Jma-YwLtSYkI.xlsx
 1521 |  30 cols | 1001 rows | project_1521_1FvQdHTxY1kESMrU6q3TW-TttrQYjoO7EndMza7j9i7s.xlsx
 1522 |  30 cols | 1001 rows | project_1522_1AYTmXo1aQddvbvSGveks3PjELAN4xqXNlEEcgj0aYPw.xlsx
 1524 |  30 cols | 1001 rows | project_1524_1dwoVtUmxa3S_G2jF95Go6n8cEYhx-VVojQKmFLWpY1U.xlsx
 1525 |  27 cols | 1000 rows | project_1525_1bwsSp5QZuHbtGcxrRljQ6BgZLXoOjC8CFd6leTVLFvs.xlsx
 1526 |  30 cols | 1006 rows | project_1526_1Jrv62GAWBBaYN_XxoqLOyT-SUjfYi0J7SIa7vrxYVjU.xlsx
 1527 |  26 cols | 1001 rows | project_1527_1EmgGOjRouJWHVy5sr42cYohE8L0YcP6Zt_a15I7Cwdw.xlsx
 1528 |  27 cols | 1001 rows | project_1528_1rbBsvQ_WQcqTvWEhZW159sKO0H6btH47TXH6oqdOA5s.xlsx
 1529 |  30 cols | 1001 rows | project_1529_1MGQF3fYTnRQkhaPi6Yn0CgSXtMZX-118cJeCU-KfGtM.xlsx
 1532 |  27 cols | 1000 rows | project_1532_1CwYFC13SFFcwu_kMM5W4KnHlpIIccnUZp7ZpP2Izico.xlsx
 1533 |  27 cols | 1001 rows | project_1533_1hWdY_lGI_3QPtmFjHsiUMZ-kJpZQ93dK9gOjN1RWvFM.xlsx
 1536 |  30 cols | 1001 rows | project_1536_1JWJaSOy1j8XED7u3XAWIVBVRoeYLeZ8brTZlIxYp8-c.xlsx
 1537 |  27 cols | 1001 rows | project_1537_1T5LzbqXx-EsRUxVCGvzcztNb0HvJjXzex_t1jikmSeI.xlsx
 1540 |  30 cols | 1001 rows | project_1540_1-TmXeB5LUNNHW4t6hHODYPpzjZYqeTjXSWPuJ9KAqzY.xlsx
 1541 |  27 cols | 1001 rows | project_1541_1lmA7rfsCVPAWY5Hzg-YxVfkIIiRRL-E0YPjloPTFCwE.xlsx
 1543 |  27 cols | 1001 rows | project_1543_14IfZ5b9_Anh8ZD08UXbHfzGLorjpz_xqix-3WJo-jnE.xlsx
 1544 |  30 cols | 1001 rows | project_1544_1A-U5VtYQ8r6rJInEdJiVP6v5B0QR0jGIfunKZntP_GA.xlsx
 1545 |  27 cols | 1001 rows | project_1545_1HyvmutsZH7RDwVEWsb6wb6I6Guno2KS0xRIEnmDvL4E.xlsx
 1546 |  30 cols | 1001 rows | project_1546_18pmN7YnJIDx-62d9spArZKmkxyXEb1pR_w9wDDznCF0.xlsx
 1548 |  27 cols | 1002 rows | project_1548_1l6B5ouvnu7vZpzjJ2JHX1ArcBXywcvhZW9atTI-pCqo.xlsx
